well_id|county|spud_date|completion_date
12948|County 6|2021-12-23|2022-06-12
12949|County 6|2012-09-17|2012-12-31
12950|County 6|2012-10-22|2013-08-01
12951|County 8|2014-07-26|2015-02-04
12952|County 8|2017-08-20|2018-06-14
12953|County 5|2009-08-06|2009-09-26
12954|County 6|2013-07-01|2013-12-25
12955|County 8|2013-10-30|2014-04-14
12956|County 9|2011-01-25|2011-04-05
12957|County 9|2013-05-21|2013-09-30
12958|County 8|2009-09-02|2009-10-01
12959|County 8|2016-12-12|2018-01-17
12960|County 9|2011-05-17|2011-09-18
12961|County 9|2013-12-23|2014-02-17
12962|County 7|2009-10-22|2010-02-16
12963|County 9|2014-02-28|2014-09-29
12964|County 1|2013-07-14|2013-11-28
12965|County 8|2016-08-10|2018-06-30
12966|County 1|2013-11-11|2014-05-01
12967|County 9|2014-05-17|2014-08-13
12968|County 9|2014-03-27|2014-08-04
12969|County 6|2015-06-07|2016-01-08
12970|County 6|2022-09-21|2023-01-24
12971|County 9|2012-09-10|2012-11-18
12972|County 8|2021-04-26|2021-07-18
12973|County 9|2010-01-13|2010-05-18
12974|County 9|2016-01-27|2018-07-19
12975|County 1|2019-05-24|2019-12-05
12976|County 6|2008-04-18|2008-07-03
12977|County 1|2011-02-11|2011-06-06
12978|County 8|2012-02-02|2013-01-18
12979|County 9|2012-10-12|2013-03-17
12980|County 1|2013-04-12|2014-05-24
12981|County 1|2017-03-25|2017-10-25
12982|County 1|2022-04-10|2022-10-06
12983|County 8|2016-09-22|2018-04-24
